PROVINCIA;LOCALIDAD;CEM - CCD - EP;LUGAR DE HALLAZGO;HOJA DE REFERENCIA;Lat;Long;Suma de CASOS;Suma de EXHUMADOS;Suma de ID CON CUERPO;Suma de ID SIN CUERPO;Suma de ID;Suma de NO ID
Buenos Aires;Almirante Brown;CEM;Cementerio de Almirante Brown;Zona_Sur-Rafael_Calzada;-34.795355931418285;-58.34562565092717;30;30;10;0;10;20
Buenos Aires;Arana;CCD;Comisaría de Arana;Centros_Clandestinos_de_Detención-Arana;-34.996624097223666;-57.89276388220877;13;13;1;0;1;12
Buenos Aires;Avellaneda;CEM;Cementerio de Avellaneda- Sector 134;Zona_Sur-Avellaneda_Sector_134;-34.702060816394;-58.34594250651651;247;245;117;2;119;128
Buenos Aires;Avellaneda;CEM;Cementerio de Avellaneda-Fondo;Zona_Sur-Avellaneda;-34.70245210786185;-58.34848133917287;48;47;16;1;17;31
Buenos Aires;Bahía Blanca;CEM;Cementerio de Bahía Blanca;Buenos_Aires-Bahía_Blanca;-38.70816622888275;-62.23004968897029;10;9;0;1;1;9
Buenos Aires;Belén de Escobar;CEM;Cementerio de Escobar;Zona_Norte-Escobar;-34.32853917218838;-58.8009414756790002;13;13;7;0;7;6
Buenos Aires;Benavídez;CEM;Cementerio de Benavídez;Zona_Norte-Tigre-Benavidez;-34.4261136491609;-58.70546978967362;6;0;0;6;6;0
Buenos Aires;Berazategui;CEM;Cementerio Parque Municipal de Berazategui;Zona_Sur-Berazategui;-34.79137931089671;-58.18456103558183;11;11;8;0;8;3
Buenos Aires;Boulogne Sur Mer;CEM;Cementerio de Boulogne;Zona_Norte-Boulogne-San_Isidro;-34.492235215938116;-58.578289292936866;23;17;7;6;13;10
Buenos Aires;Campana;CEM;Cementerio de Campana;Zona_Norte-Campana;-34.17458274523213;-58.97397219999997;8;5;1;3;4;4
Buenos Aires;Cañuelas;CEM;Cementerio de Cañuelas;Zona_Sur-Cañuelas;-35.05463439273889;-58.793083504293264;1;0;0;1;1;0
Buenos Aires;Capilla del Señor;CEM;Cementerio de Capilla del Señor;Zona_Norte-Capilla_del_Señor;-34.292982283336684;-59.104869066884696;1;0;0;1;1;0
Buenos Aires;Castelar;CCD;El Chalet- Hospital Nacional Profesor Alejandro Posadas;Centros_Clandestinos_de_Detención-Hospital_Posadas;-34.629865448930765;-58.57516071604371;1;1;1;0;1;0
Buenos Aires;Chascomús;CEM;Cementerio de Chascomús;Zona_Sur-Chascomús;-35.590425871928154;-57.97686077188338;1;1;1;0;1;0
Buenos Aires;Derqui;CEM;Cementerio de Presidente Derqui;Zona_Norte-Derqui;-34.4860923743163;-58.854419610606655;25;25;20;0;20;5
Buenos Aires;Don Bosco;CCD;Subcomisaría de Don Bosco- Puesto Vasco;Centros_Clandestinos_de_Detención-Puesto_Vasco;-34.70356287291865;-58.30161830385041;2;2;0;0;0;2
Buenos Aires;Esteban Echeverría;EP;Transradio;Sitios_Clandestinos_de_Inhumación-Transradio;-34.74121052173191;-58.50295751497303;5;5;4;0;4;1
Buenos Aires;Ezpeleta;CEM;Cementerio de Ezpeleta;Zona_Sur-Ezpeleta;-34.7441875;-58.22922744455732;32;32;7;0;7;25
Buenos Aires;General Lavalle;CEM;Cementerio de General Lavalle;Costa-General_Lavalle;-36.43302700854732;-56.93876570517948;25;25;21;0;21;4
Buenos Aires;General Madariaga;CEM;Cementerio de General Madariaga;Costa-General_Madariaga;-36.98486551180827;-57.13349847041311;3;3;2;0;2;1
Buenos Aires;Grand Bourg;CEM;Cementerio Parque Grand Bourg;Zona_Norte-Grand_Bourg;-34.499768056404044;-58.73495156432999;4;1;1;3;4;0
Buenos Aires;La Matanza;CCD;Ex Centro Clandestino de Detención El Banco;Centros_Clandestinos_de_Detención-El_Banco;-34.72410716102484;-58.51494245225535;3;3;1;0;1;2
Buenos Aires;La Matanza;CEM;Cementerio de Villegas;Zona_Oeste-Villegas-(Isidro_Casanova);-34.702496004867555;-58.563048879931536;55;47;26;8;34;21
Buenos Aires;La Plata;CEM;Cementerio de La Plata;Zona_Sur-La_Plata;-34.95748941764096;-57.95396651827783;72;65;38;7;45;27
Buenos Aires;Lomas de Zamora;CEM;Cementerio de Lomas de Zamora;Zona_Sur-Lomas_de_Zamora;-34.72601763575005;-58.420932793254494;71;68;57;3;60;11
Buenos Aires;Magdalena;CEM;Cementerio de Magdalena;Zona_Sur-Magdalena;-35.076983602266466;-57.52807495017174;26;22;4;4;8;18
Buenos Aires;Mar del Plata;CEM;Cementerio Parque;Zona_Sur-Mar_del_Plata;-38.05713608541682;-57.61012515217737;28;25;12;3;15;13
Buenos Aires;Marcos Paz;CEM;Cementerio de Marcos Paz;Zona_Oeste-Marcos_Paz;-34.78928268944491;-58.853169410373525;2;2;0;0;0;2
Buenos Aires;Merlo;CEM;Cementerio Santa Mónica;Zona_Oeste-Merlo;-34.71258522398172;-58.71201946826784;26;25;10;1;11;15
Buenos Aires;Moreno;CEM;Cementerio de Moreno;Zona_Oeste-Moreno;-34.62079226688848;-58.81220433191661;13;13;12;0;12;1
Buenos Aires;Morón;CEM;Cementerio de Morón;Zona_Oeste-Morón;-34.66085584756317;-58.62555943029171;12;5;0;7;7;5
Buenos Aires;Olivos;CEM;Cementerio de Olivos;Zona_Norte-Olivos-Vicente_Lopez;-34.51645361646714;-58.50650594952432;11;10;9;1;10;1
Buenos Aires;Pergamino;CEM;Cementerio de Pergamino;Zona_Norte-Pergamino;-33.89385399266203;-60.59341135123596;2;0;0;2;2;0
Buenos Aires;San Andrés de Giles;CEM;Cementerio Norte;Zona_Norte-San_Andrés_de_Giles;-34.42393847293452;-59.44723266786669;5;5;5;0;5;0
Buenos Aires;San Fernando;EP;Descampado al sur del Aeropuerto Internacional de San Fernando;Sitios_Clandestinos_de_Inhumación-Bancalari-San_Fernando;-34.479561003415604;-58.6027288738927;4;4;4;0;4;0
Buenos Aires;San Martín;CEM;Cementerio de General San Martín;Zona_Norte-San_Martín;-34.5840916396207;-58.550919955974734;59;52;30;7;37;22
Buenos Aires;San Nicolás de los Arroyos;CEM;Cementerio de San Nicolás de los Arroyos;Zona_Norte-San_Nicolás;-33.32021563376385;-60.22996990391279;1;0;0;1;1;0
Buenos Aires;Verónica;CEM;Cementerio de Verónica;Zon_Sur-Verónica;-35.41550588529599;-57.34740877498149;2;2;0;0;0;2
Buenos Aires;Villa Gesell;CEM;Cementerio de Villa Gesell;Costa-Villa_Gesell;-37.23410232047399;-57.040405567520686;1;1;1;0;1;0
